,status,x_marst,x_occup08,x_diplom,x_age,region,xh5,xj1,xj4.1,xj13.2
2007,Город,Никогда в браке не состояли,,законченное среднее образование,63.0,"Пермский край, Соликамск и Соликамский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2008,Город,Никогда в браке не состояли,,законченное среднее образование,19.0,"Пермский край, Соликамск и Соликамский район",МУЖСКОЙ,Или у Вас сейчас нет работы,,
2009,Село,Состоите в зарегистрированном браке,,законченное высшее образование и выше,48.0,"Калужская область, Куйбышевский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2010,Село,Состоите в зарегистрированном браке,специалисты среднего уровня квалификации; чиновники,законченное высшее образование и выше,49.0,"Калужская область, Куйбышевский район",МУЖСКОЙ,Вы сейчас работаете,СЕЛЬСКОЕ ХОЗЯЙСТВО,16000.0
2011,Село,Состоите в зарегистрированном браке,,законченное среднее образование,43.0,"Калужская область, Куйбышевский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2012,Город,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее специальное образование,47.0,"Тамбовская область, Уварово и Уваровский район",МУЖСКОЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",12000.0
2013,Город,Состоите в зарегистрированном браке,работники сферы торговли и услуг,законченное среднее специальное образование,50.0,"Тамбовская область, Уварово и Уваровский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",4000.0
2014,Город,Никогда в браке не состояли,работники сферы торговли и услуг,законченное среднее специальное образование,23.0,"Тамбовская область, Уварово и Уваровский район",МУЖСКОЙ,Вы сейчас работаете,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",17200.0
2015,Город,Никогда в браке не состояли,работники сферы торговли и услуг,законченное среднее специальное образование,23.0,"Тамбовская область, Уварово и Уваровский район",МУЖСКОЙ,Вы сейчас работаете,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",17200.0
2016,Город,Разведены и в браке не состоите,,законченное среднее специальное образование,51.0,"Тамбовская область, Уварово и Уваровский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
2017,Город,Разведены и в браке не состоите,служащие офисные и по обслуживанию клиентов,законченное высшее образование и выше,29.0,"Тамбовская область, Уварово и Уваровский район",ЖЕНСКИЙ,Вы сейчас работаете,"ТРАНСПОРТ, СВЯЗЬ",35000.0
2018,Город,Разведены и в браке не состоите,,законченное высшее образование и выше,69.0,"Тамбовская область, Уварово и Уваровский район",ЖЕНСКИЙ,Или у Вас сейчас нет работы,,
